porta_quebrada: .word 31, 40
.byte 9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,
1,81,89,89,89,89,89,89,89,89,89,89,89,89,81,1,89,89,89,89,89,89,89,89,89,89,89,89,89,81,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,241,161,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,241,161,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,241,161,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,241,161,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,241,169,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,241,161,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,169,1,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,169,1,1,169,241,241,241,241,241,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,169,1,1,169,177,177,169,169,177,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,169,1,9,81,81,9,1,1,161,241,241,241,241,241,241,241,97,1,
1,169,241,241,241,241,241,241,241,241,241,241,241,169,1,9,1,1,9,9,1,81,177,241,241,241,241,241,241,97,1,
1,169,241,241,241,177,177,241,241,241,241,241,241,161,1,9,9,9,9,9,9,1,177,241,241,241,241,241,241,97,1,
1,169,241,241,169,1,81,161,169,177,241,241,241,97,1,9,9,9,9,9,9,1,169,241,177,177,241,241,241,97,1,
1,169,241,241,169,1,1,1,1,81,161,169,169,81,1,9,9,9,9,9,9,1,169,177,89,9,169,241,241,97,1,
1,169,241,241,169,1,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,1,89,89,1,1,81,177,241,97,1,
1,169,241,177,81,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,1,169,241,97,1,
1,169,249,177,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,161,241,97,1,
1,169,249,169,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,89,241,97,1,
1,169,249,169,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,81,177,161,1,
1,169,249,161,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,177,161,1,
1,169,249,161,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,169,161,1,
1,169,249,161,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,169,161,1,
1,169,249,169,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,169,161,1,
1,169,249,177,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,161,97,1,
1,169,241,241,89,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,81,81,1,
1,169,241,241,177,169,81,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,
1,169,241,241,241,249,177,81,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,169,241,241,241,177,89,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,169,241,241,177,89,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,169,241,241,161,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,169,249,169,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,169,177,73,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,169,161,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
1,81,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,


